Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Ano,Mes,Dia
Areias,SP,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,274000.0,PVL02.000800/2018-48,3503505.0,Em Análise,2023,5,12
Baixa Grande,BA,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,69289.62,17944.000430/2009-11,2902609.0,Em Análise,2010,2,1
Baixa Grande do Ribeiro,PI,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,6500000.0,PVL02.001369/2024-03,2201150.0,Em Análise,2024,8,20
Bandeira,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,250000.0,PVL02.002379/2017-29,3105202.0,Em Análise,2017,12,15
Bandeira,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,250000.0,PVL02.000202/2018-79,3105202.0,Em Análise,2018,5,4
Barra do Rio Azul,RS,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1500000.0,17944.102227/2021-74,4301925.0,Em Análise,2021,8,10
Barreiras,BA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,10000000.0,17944.003747/2024-48,2903201.0,Em Análise,2024,9,16
Benedito Novo,SC,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,17944.101381/2020-48,4202206.0,Em Análise,2020,9,4
Bernardino de Campos,SP,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,250000.0,PVL02.000758/2018-65,3506300.0,Em Análise,2018,6,22
Bodoquena,MS,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,5000000.0,17944.101409/2022-17,5002159.0,Em Análise,2023,4,6
Boquim,SE,Município,Operação Contratual Interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Companhia de Saneamento de Sergipe,Real,43652.4,17944.001903/2008-16,2800670.0,Em Análise,2009,2,9
Brasilândia do Sul,PR,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,1700000.0,PVL02.002194/2021-09,4103370.0,Em Análise,2024,3,19
Cacequi,RS,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6000000.0,17944.101593/2022-97,4302907.0,Em Análise,2023,8,22
Cajuru,SP,Município,Operação Contratual Interna,Regularização de Dívida - RELUZ,Empresa Não Estatal,Companhia Paulista de Força e Luz,Real,51868.5,17944.109538/2018-69,3509403.0,Em Análise,2018,11,8
Capão do Cipó,RS,Município,Operação Contratual Interna (com garantia da União),Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,973722.67,17944.102980/2020-89,4304655.0,Em Análise,2020,12,4
